line_item,period,value,ticker,company_name
General And Administrative Expense,2022-12-31,10041549000000.0,BBCA.JK,Bank Central Asia
Insurance And Claims,2025-12-31,2473103000000.0,BBCA.JK,Bank Central Asia
Insurance And Claims,2024-12-31,2316425000000.0,BBCA.JK,Bank Central Asia
Insurance And Claims,2023-12-31,2277722000000.0,BBCA.JK,Bank Central Asia
Insurance And Claims,2022-12-31,2118061000000.0,BBCA.JK,Bank Central Asia
Rent And Landing Fees,2025-12-31,1334875000000.0,BBCA.JK,Bank Central Asia
Rent And Landing Fees,2024-12-31,1143353000000.0,BBCA.JK,Bank Central Asia
Rent And Landing Fees,2023-12-31,1029820000000.0,BBCA.JK,Bank Central Asia
Rent And Landing Fees,2022-12-31,1122415000000.0,BBCA.JK,Bank Central Asia
Total Revenue,2025-12-31,114319648000000.0,BBCA.JK,Bank Central Asia
Total Revenue,2024-12-31,108796625000000.0,BBCA.JK,Bank Central Asia
Total Revenue,2023-12-31,100485975000000.0,BBCA.JK,Bank Central Asia
Total Revenue,2022-12-31,89523508000000.0,BBCA.JK,Bank Central Asia
Operating Revenue,2025-12-31,114319648000000.0,BBCA.JK,Bank Central Asia
Operating Revenue,2024-12-31,108796625000000.0,BBCA.JK,Bank Central Asia
Operating Revenue,2023-12-31,100485975000000.0,BBCA.JK,Bank Central Asia
Operating Revenue,2022-12-31,89523508000000.0,BBCA.JK,Bank Central Asia
Tax Effect Of Unusual Items,2025-12-31,396027172.968078,BMRI.JK,Bank Mandiri
Tax Effect Of Unusual Items,2024-12-31,4918935190.92833,BMRI.JK,Bank Mandiri
Tax Effect Of Unusual Items,2023-12-31,3073358455.856681,BMRI.JK,Bank Mandiri
Tax Effect Of Unusual Items,2022-12-31,-19670931287.118603,BMRI.JK,Bank Mandiri
Tax Effect Of Unusual Items,2021-12-31,,BMRI.JK,Bank Mandiri
Tax Rate For Calcs,2025-12-31,0.197225,BMRI.JK,Bank Mandiri
Tax Rate For Calcs,2024-12-31,0.199446,BMRI.JK,Bank Mandiri
Tax Rate For Calcs,2023-12-31,0.19593,BMRI.JK,Bank Mandiri
Tax Rate For Calcs,2022-12-31,0.202657,BMRI.JK,Bank Mandiri
Tax Rate For Calcs,2021-12-31,,BMRI.JK,Bank Mandiri
Total Unusual Items,2025-12-31,2008000000.0,BMRI.JK,Bank Mandiri
Total Unusual Items,2024-12-31,24663000000.0,BMRI.JK,Bank Mandiri
Total Unusual Items,2023-12-31,15686000000.0,BMRI.JK,Bank Mandiri
Total Unusual Items,2022-12-31,-97065000000.0,BMRI.JK,Bank Mandiri
Total Unusual Items,2021-12-31,,BMRI.JK,Bank Mandiri
Total Unusual Items Excluding Goodwill,2025-12-31,2008000000.0,BMRI.JK,Bank Mandiri
Total Unusual Items Excluding Goodwill,2024-12-31,24663000000.0,BMRI.JK,Bank Mandiri
Total Unusual Items Excluding Goodwill,2023-12-31,15686000000.0,BMRI.JK,Bank Mandiri
Total Unusual Items Excluding Goodwill,2022-12-31,-97065000000.0,BMRI.JK,Bank Mandiri
Total Unusual Items Excluding Goodwill,2021-12-31,,BMRI.JK,Bank Mandiri
Net Income From Continuing Operation Net Minority Interest,2025-12-31,56293950000000.0,BMRI.JK,Bank Mandiri
Net Income From Continuing Operation Net Minority Interest,2024-12-31,55782742000000.0,BMRI.JK,Bank Mandiri
Net Income From Continuing Operation Net Minority Interest,2023-12-31,55060057000000.0,BMRI.JK,Bank Mandiri
Net Income From Continuing Operation Net Minority Interest,2022-12-31,41170637000000.0,BMRI.JK,Bank Mandiri
Net Income From Continuing Operation Net Minority Interest,2021-12-31,,BMRI.JK,Bank Mandiri
Reconciled Depreciation,2025-12-31,6106744000000.0,BMRI.JK,Bank Mandiri
Reconciled Depreciation,2024-12-31,4668462000000.0,BMRI.JK,Bank Mandiri
Reconciled Depreciation,2023-12-31,4566902000000.0,BMRI.JK,Bank Mandiri
Reconciled Depreciation,2022-12-31,4513637000000.0,BMRI.JK,Bank Mandiri
Reconciled Depreciation,2021-12-31,,BMRI.JK,Bank Mandiri
Net Interest Income,2025-12-31,91569586000000.0,BMRI.JK,Bank Mandiri
Net Interest Income,2024-12-31,88916286000000.0,BMRI.JK,Bank Mandiri
Net Interest Income,2023-12-31,83654984000000.0,BMRI.JK,Bank Mandiri
Net Interest Income,2022-12-31,76244928000000.0,BMRI.JK,Bank Mandiri
Net Interest Income,2021-12-31,,BMRI.JK,Bank Mandiri
Interest Expense,2025-12-31,49211664000000.0,BMRI.JK,Bank Mandiri
Interest Expense,2024-12-31,41718486000000.0,BMRI.JK,Bank Mandiri
Interest Expense,2023-12-31,30733842000000.0,BMRI.JK,Bank Mandiri
Interest Expense,2022-12-31,20510620000000.0,BMRI.JK,Bank Mandiri
Interest Expense,2021-12-31,,BMRI.JK,Bank Mandiri
Interest Income,2025-12-31,140781250000000.0,BMRI.JK,Bank Mandiri
Interest Income,2024-12-31,130634772000000.0,BMRI.JK,Bank Mandiri
Interest Income,2023-12-31,114388826000000.0,BMRI.JK,Bank Mandiri
Interest Income,2022-12-31,96755548000000.0,BMRI.JK,Bank Mandiri
Interest Income,2021-12-31,,BMRI.JK,Bank Mandiri
Normalized Income,2025-12-31,56292338027172.97,BMRI.JK,Bank Mandiri
Normalized Income,2024-12-31,55762997935190.93,BMRI.JK,Bank Mandiri
Normalized Income,2023-12-31,55047444358455.86,BMRI.JK,Bank Mandiri
Normalized Income,2022-12-31,41248031068712.88,BMRI.JK,Bank Mandiri
Normalized Income,2021-12-31,,BMRI.JK,Bank Mandiri
Net Income From Continuing And Discontinued Operation,2025-12-31,56293950000000.0,BMRI.JK,Bank Mandiri
Net Income From Continuing And Discontinued Operation,2024-12-31,55782742000000.0,BMRI.JK,Bank Mandiri
Net Income From Continuing And Discontinued Operation,2023-12-31,55060057000000.0,BMRI.JK,Bank Mandiri
Net Income From Continuing And Discontinued Operation,2022-12-31,41170637000000.0,BMRI.JK,Bank Mandiri
Net Income From Continuing And Discontinued Operation,2021-12-31,,BMRI.JK,Bank Mandiri
Diluted Average Shares,2025-12-31,93320458332.0,BMRI.JK,Bank Mandiri
Diluted Average Shares,2024-12-31,93333333332.0,BMRI.JK,Bank Mandiri
Diluted Average Shares,2023-12-31,93333333332.0,BMRI.JK,Bank Mandiri
Diluted Average Shares,2022-12-31,93302714482.0,BMRI.JK,Bank Mandiri
Diluted Average Shares,2021-12-31,,BMRI.JK,Bank Mandiri
Basic Average Shares,2025-12-31,93320458332.0,BMRI.JK,Bank Mandiri
Basic Average Shares,2024-12-31,93333333332.0,BMRI.JK,Bank Mandiri
Basic Average Shares,2023-12-31,93333333332.0,BMRI.JK,Bank Mandiri
Basic Average Shares,2022-12-31,93302714482.0,BMRI.JK,Bank Mandiri
Basic Average Shares,2021-12-31,,BMRI.JK,Bank Mandiri
Diluted EPS,2025-12-31,603.23,BMRI.JK,Bank Mandiri
Diluted EPS,2024-12-31,597.67,BMRI.JK,Bank Mandiri
Diluted EPS,2023-12-31,589.93,BMRI.JK,Bank Mandiri
Diluted EPS,2022-12-31,441.26,BMRI.JK,Bank Mandiri
Diluted EPS,2021-12-31,,BMRI.JK,Bank Mandiri
Basic EPS,2025-12-31,603.23,BMRI.JK,Bank Mandiri
Basic EPS,2024-12-31,597.67,BMRI.JK,Bank Mandiri
Basic EPS,2023-12-31,589.93,BMRI.JK,Bank Mandiri
Basic EPS,2022-12-31,441.26,BMRI.JK,Bank Mandiri
Basic EPS,2021-12-31,,BMRI.JK,Bank Mandiri
Diluted NI Availto Com Stockholders,2025-12-31,56293950000000.0,BMRI.JK,Bank Mandiri
Diluted NI Availto Com Stockholders,2024-12-31,55782742000000.0,BMRI.JK,Bank Mandiri
Diluted NI Availto Com Stockholders,2023-12-31,55060057000000.0,BMRI.JK,Bank Mandiri
Diluted NI Availto Com Stockholders,2022-12-31,41170637000000.0,BMRI.JK,Bank Mandiri
Diluted NI Availto Com Stockholders,2021-12-31,,BMRI.JK,Bank Mandiri
Net Income Common Stockholders,2025-12-31,56293950000000.0,BMRI.JK,Bank Mandiri
Net Income Common Stockholders,2024-12-31,55782742000000.0,BMRI.JK,Bank Mandiri
Net Income Common Stockholders,2023-12-31,55060057000000.0,BMRI.JK,Bank Mandiri
Net Income Common Stockholders,2022-12-31,41170637000000.0,BMRI.JK,Bank Mandiri
Net Income Common Stockholders,2021-12-31,,BMRI.JK,Bank Mandiri
Net Income,2025-12-31,56293950000000.0,BMRI.JK,Bank Mandiri
Net Income,2024-12-31,55782742000000.0,BMRI.JK,Bank Mandiri
Net Income,2023-12-31,55060057000000.0,BMRI.JK,Bank Mandiri
Net Income,2022-12-31,41170637000000.0,BMRI.JK,Bank Mandiri
Net Income,2021-12-31,,BMRI.JK,Bank Mandiri
Minority Interests,2025-12-31,-5052183000000.0,BMRI.JK,Bank Mandiri
Minority Interests,2024-12-31,-5382379000000.0,BMRI.JK,Bank Mandiri
Minority Interests,2023-12-31,-4991813000000.0,BMRI.JK,Bank Mandiri
Minority Interests,2022-12-31,-3781731000000.0,BMRI.JK,Bank Mandiri
Minority Interests,2021-12-31,,BMRI.JK,Bank Mandiri
Net Income Including Noncontrolling Interests,2025-12-31,61346133000000.0,BMRI.JK,Bank Mandiri
Net Income Including Noncontrolling Interests,2024-12-31,61165121000000.0,BMRI.JK,Bank Mandiri
Net Income Including Noncontrolling Interests,2023-12-31,60051870000000.0,BMRI.JK,Bank Mandiri
Net Income Including Noncontrolling Interests,2022-12-31,44952368000000.0,BMRI.JK,Bank Mandiri
Net Income Including Noncontrolling Interests,2021-12-31,,BMRI.JK,Bank Mandiri
Net Income Continuous Operations,2025-12-31,61346133000000.0,BMRI.JK,Bank Mandiri
Net Income Continuous Operations,2024-12-31,61165121000000.0,BMRI.JK,Bank Mandiri
Net Income Continuous Operations,2023-12-31,60051870000000.0,BMRI.JK,Bank Mandiri
Net Income Continuous Operations,2022-12-31,44952368000000.0,BMRI.JK,Bank Mandiri
Net Income Continuous Operations,2021-12-31,,BMRI.JK,Bank Mandiri
Tax Provision,2025-12-31,15071430000000.0,BMRI.JK,Bank Mandiri
Tax Provision,2024-12-31,15238365000000.0,BMRI.JK,Bank Mandiri
Tax Provision,2023-12-31,14633011000000.0,BMRI.JK,Bank Mandiri
Tax Provision,2022-12-31,11425358000000.0,BMRI.JK,Bank Mandiri
Tax Provision,2021-12-31,,BMRI.JK,Bank Mandiri
Pretax Income,2025-12-31,76417563000000.0,BMRI.JK,Bank Mandiri
Pretax Income,2024-12-31,76403486000000.0,BMRI.JK,Bank Mandiri
Pretax Income,2023-12-31,74684881000000.0,BMRI.JK,Bank Mandiri
Pretax Income,2022-12-31,56377726000000.0,BMRI.JK,Bank Mandiri
Pretax Income,2021-12-31,,BMRI.JK,Bank Mandiri
Other Non Operating Income Expenses,2025-12-31,104547000000.0,BMRI.JK,Bank Mandiri
Other Non Operating Income Expenses,2024-12-31,341056000000.0,BMRI.JK,Bank Mandiri
Other Non Operating Income Expenses,2023-12-31,34694000000.0,BMRI.JK,Bank Mandiri
Other Non Operating Income Expenses,2022-12-31,206816000000.0,BMRI.JK,Bank Mandiri
Other Non Operating Income Expenses,2021-12-31,,BMRI.JK,Bank Mandiri
Special Income Charges,2025-12-31,2008000000.0,BMRI.JK,Bank Mandiri
Special Income Charges,2024-12-31,24663000000.0,BMRI.JK,Bank Mandiri
Special Income Charges,2023-12-31,15686000000.0,BMRI.JK,Bank Mandiri
Special Income Charges,2022-12-31,-97065000000.0,BMRI.JK,Bank Mandiri
Special Income Charges,2021-12-31,,BMRI.JK,Bank Mandiri
Other Special Charges,2025-12-31,-2008000000.0,BMRI.JK,Bank Mandiri
Other Special Charges,2024-12-31,-24663000000.0,BMRI.JK,Bank Mandiri
Other Special Charges,2023-12-31,-29075000000.0,BMRI.JK,Bank Mandiri
Other Special Charges,2022-12-31,-14174000000.0,BMRI.JK,Bank Mandiri
Other Special Charges,2021-12-31,,BMRI.JK,Bank Mandiri
Write Off,2025-12-31,,BMRI.JK,Bank Mandiri
Write Off,2024-12-31,,BMRI.JK,Bank Mandiri
Write Off,2023-12-31,,BMRI.JK,Bank Mandiri
Write Off,2022-12-31,,BMRI.JK,Bank Mandiri
Write Off,2021-12-31,-204947000000.0,BMRI.JK,Bank Mandiri
Impairment Of Capital Assets,2025-12-31,,BMRI.JK,Bank Mandiri
Impairment Of Capital Assets,2024-12-31,0.0,BMRI.JK,Bank Mandiri
Impairment Of Capital Assets,2023-12-31,13389000000.0,BMRI.JK,Bank Mandiri
Impairment Of Capital Assets,2022-12-31,111239000000.0,BMRI.JK,Bank Mandiri
Impairment Of Capital Assets,2021-12-31,45226000000.0,BMRI.JK,Bank Mandiri
Gain On Sale Of Security,2025-12-31,18848412000000.0,BMRI.JK,Bank Mandiri
Gain On Sale Of Security,2024-12-31,15032050000000.0,BMRI.JK,Bank Mandiri
Gain On Sale Of Security,2023-12-31,13930848000000.0,BMRI.JK,Bank Mandiri
Gain On Sale Of Security,2022-12-31,13353899000000.0,BMRI.JK,Bank Mandiri
Gain On Sale Of Security,2021-12-31,,BMRI.JK,Bank Mandiri
Operating Expense,2025-12-31,63630242000000.0,BMRI.JK,Bank Mandiri
Operating Expense,2024-12-31,56180473000000.0,BMRI.JK,Bank Mandiri
Operating Expense,2023-12-31,51582919000000.0,BMRI.JK,Bank Mandiri
Operating Expense,2022-12-31,51602703000000.0,BMRI.JK,Bank Mandiri
Operating Expense,2021-12-31,,BMRI.JK,Bank Mandiri
Other Operating Expenses,2025-12-31,3444046000000.0,BMRI.JK,Bank Mandiri
Other Operating Expenses,2024-12-31,2830831000000.0,BMRI.JK,Bank Mandiri
Other Operating Expenses,2023-12-31,1753184000000.0,BMRI.JK,Bank Mandiri
Other Operating Expenses,2022-12-31,2308935000000.0,BMRI.JK,Bank Mandiri
Other Operating Expenses,2021-12-31,,BMRI.JK,Bank Mandiri
Depreciation And Amortization In Income Statement,2025-12-31,6106744000000.0,BMRI.JK,Bank Mandiri
Depreciation And Amortization In Income Statement,2024-12-31,4668462000000.0,BMRI.JK,Bank Mandiri
Depreciation And Amortization In Income Statement,2023-12-31,4566902000000.0,BMRI.JK,Bank Mandiri
Depreciation And Amortization In Income Statement,2022-12-31,4513637000000.0,BMRI.JK,Bank Mandiri
Depreciation And Amortization In Income Statement,2021-12-31,,BMRI.JK,Bank Mandiri
Amortization,2025-12-31,1556721000000.0,BMRI.JK,Bank Mandiri
Amortization,2024-12-31,945641000000.0,BMRI.JK,Bank Mandiri
Amortization,2023-12-31,1153670000000.0,BMRI.JK,Bank Mandiri
Amortization,2022-12-31,1095451000000.0,BMRI.JK,Bank Mandiri
Amortization,2021-12-31,,BMRI.JK,Bank Mandiri
Depreciation Income Statement,2025-12-31,4550023000000.0,BMRI.JK,Bank Mandiri
Depreciation Income Statement,2024-12-31,3722821000000.0,BMRI.JK,Bank Mandiri
Depreciation Income Statement,2023-12-31,3413232000000.0,BMRI.JK,Bank Mandiri
Depreciation Income Statement,2022-12-31,3418186000000.0,BMRI.JK,Bank Mandiri
Depreciation Income Statement,2021-12-31,,BMRI.JK,Bank Mandiri
Selling General And Administration,2025-12-31,21849383000000.0,BMRI.JK,Bank Mandiri
Selling General And Administration,2024-12-31,19968219000000.0,BMRI.JK,Bank Mandiri
Selling General And Administration,2023-12-31,16645941000000.0,BMRI.JK,Bank Mandiri
Selling General And Administration,2022-12-31,16135159000000.0,BMRI.JK,Bank Mandiri
Selling General And Administration,2021-12-31,,BMRI.JK,Bank Mandiri
Selling And Marketing Expense,2025-12-31,4598568000000.0,BMRI.JK,Bank Mandiri
Selling And Marketing Expense,2024-12-31,2701820000000.0,BMRI.JK,Bank Mandiri
Selling And Marketing Expense,2023-12-31,2303064000000.0,BMRI.JK,Bank Mandiri
Selling And Marketing Expense,2022-12-31,2077000000000.0,BMRI.JK,Bank Mandiri
Selling And Marketing Expense,2021-12-31,,BMRI.JK,Bank Mandiri
General And Administrative Expense,2025-12-31,17250815000000.0,BMRI.JK,Bank Mandiri
General And Administrative Expense,2024-12-31,17266399000000.0,BMRI.JK,Bank Mandiri
General And Administrative Expense,2023-12-31,14342877000000.0,BMRI.JK,Bank Mandiri
General And Administrative Expense,2022-12-31,14058159000000.0,BMRI.JK,Bank Mandiri
General And Administrative Expense,2021-12-31,,BMRI.JK,Bank Mandiri
Insurance And Claims,2025-12-31,4050472000000.0,BMRI.JK,Bank Mandiri
